type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,day_added,genres
Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,2020,PG-13,90.0,Documentaries,2021,9,25,['Documentaries']
TV Show,Ganglands,Julien Leclercq,France,2021-09-24,2021,TV-MA,1.0,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,24,"['Crime TV Shows', ' International TV Shows', ' TV Action & Adventure']"
TV Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,2021,TV-MA,1.0,"TV Dramas, TV Horror, TV Mysteries",2021,9,24,"['TV Dramas', ' TV Horror', ' TV Mysteries']"
Movie,Confessions of an Invisible Girl,Bruno Garotti,Brazil,2021-09-22,2021,TV-PG,91.0,"Children & Family Movies, Comedies",2021,9,22,"['Children & Family Movies', ' Comedies']"
Movie,Sankofa,Haile Gerima,United States,2021-09-24,1993,TV-MA,125.0,"Dramas, Independent Movies, International Movies",2021,9,24,"['Dramas', ' Independent Movies', ' International Movies']"
TV Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,2021,TV-14,,"British TV Shows, Reality TV",2021,9,24,"['British TV Shows', ' Reality TV']"
Movie,The Starling,Theodore Melfi,United States,2021-09-24,2021,PG-13,104.0,"Comedies, Dramas",2021,9,24,"['Comedies', ' Dramas']"
Movie,Motu Patlu in the Game of Zones,Suhas Kadav,India,2021-05-01,2019,TV-Y7,87.0,"Children & Family Movies, Comedies, Music & Musicals",2021,5,1,"['Children & Family Movies', ' Comedies', ' Music & Musicals']"
Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,2021,TV-MA,127.0,"Dramas, International Movies",2021,9,23,"['Dramas', ' International Movies']"
Movie,Motu Patlu in Wonderland,Suhas Kadav,India,2021-05-01,2013,TV-Y7,76.0,"Children & Family Movies, Music & Musicals",2021,5,1,"['Children & Family Movies', ' Music & Musicals']"
Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,2014,TV-Y7,76.0,"Children & Family Movies, Comedies",2021,5,1,"['Children & Family Movies', ' Comedies']"
Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,2013,TV-Y7,71.0,"Children & Family Movies, Comedies",2021,5,1,"['Children & Family Movies', ' Comedies']"
Movie,99 Songs (Tamil),Not Given,Pakistan,2021-05-21,2021,TV-14,131.0,"Dramas, International Movies, Music & Musicals",2021,5,21,"['Dramas', ' International Movies', ' Music & Musicals']"
Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,2021,TV-14,39.0,Movies,2021,7,13,['Movies']
Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,36.0,Movies,2021,6,12,['Movies']
Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,2021,TV-MA,34.0,Movies,2021,6,12,['Movies']
Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,2021,TV-14,35.0,Comedies,2021,5,7,['Comedies']
TV Show,Jailbirds New Orleans,Not Given,Pakistan,2021-09-24,2021,TV-MA,1.0,"Docuseries, Reality TV",2021,9,24,"['Docuseries', ' Reality TV']"
TV Show,Crime Stories: India Detectives,Not Given,Pakistan,2021-09-22,2021,TV-MA,1.0,"British TV Shows, Crime TV Shows, Docuseries",2021,9,22,"['British TV Shows', ' Crime TV Shows', ' Docuseries']"
Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,2019-11-26,2019,TV-Y,46.0,Children & Family Movies,2019,11,26,['Children & Family Movies']
TV Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1.0,Kids' TV,2018,6,15,"[""Kids' TV""]"
TV Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,2018,TV-Y,1.0,Kids' TV,2018,6,15,"[""Kids' TV""]"
TV Show,Dance & Sing with True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,2018,TV-Y,1.0,Kids' TV,2018,5,18,"[""Kids' TV""]"
Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given,2021-09-24,2021,PG,91.0,Children & Family Movies,2021,9,24,['Children & Family Movies']
TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,2021-09-23,2021,TV-MA,1.0,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,9,23,"['Crime TV Shows', ' International TV Shows', ' TV Action & Adventure']"
Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,2021-09-22,2020,TV-MA,67.0,"Documentaries, International Movies",2021,9,22,"['Documentaries', ' International Movies']"
Movie,Samudri Lootere,Anirban Majumder,Not Given,2019-06-18,2018,TV-Y,65.0,Children & Family Movies,2019,6,18,['Children & Family Movies']
TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,2021-09-22,2021,TV-14,1.0,"Crime TV Shows, Docuseries, International TV Shows",2021,9,22,"['Crime TV Shows', ' Docuseries', ' International TV Shows']"
Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,2021,TV-Y,61.0,Children & Family Movies,2021,9,21,['Children & Family Movies']
Movie,Jeans,S. Shankar,India,2021-09-21,1998,TV-14,166.0,"Comedies, International Movies, Romantic Movies",2021,9,21,"['Comedies', ' International Movies', ' Romantic Movies']"
Movie,Grown Ups,Dennis Dugan,United States,2021-09-20,2010,PG-13,103.0,Comedies,2021,9,20,['Comedies']
Movie,Dark Skies,Scott Stewart,United States,2021-09-19,2013,PG-13,97.0,"Horror Movies, Sci-Fi & Fantasy",2021,9,19,"['Horror Movies', ' Sci-Fi & Fantasy']"
Movie,Paranoia,Robert Luketic,United States,2021-09-19,2013,PG-13,106.0,Thrillers,2021,9,19,['Thrillers']
TV Show,Jaguar,Not Given,Pakistan,2021-09-22,2021,TV-MA,1.0,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2021,9,22,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Action & Adventure']"
TV Show,Chicago Party Aunt,Not Given,Pakistan,2021-09-17,2021,TV-MA,1.0,TV Comedies,2021,9,17,['TV Comedies']
TV Show,Squid Game,Not Given,Pakistan,2021-09-17,2021,TV-MA,1.0,"International TV Shows, TV Dramas, TV Thrillers",2021,9,17,"['International TV Shows', ' TV Dramas', ' TV Thrillers']"
TV Show,Tayo and Little Wizards,Not Given,Pakistan,2021-09-17,2020,TV-Y7,1.0,Kids' TV,2021,9,17,"[""Kids' TV""]"
TV Show,The World's Most Amazing Vacation Rentals,Not Given,Pakistan,2021-09-14,2021,TV-PG,,Reality TV,2021,9,14,['Reality TV']
TV Show,Metal Shop Masters,Not Given,Pakistan,2021-09-10,2021,TV-MA,1.0,Reality TV,2021,9,10,['Reality TV']
TV Show,Pokémon Master Journeys: The Series,Not Given,Pakistan,2021-09-10,2021,TV-Y7,1.0,"Anime Series, Kids' TV",2021,9,10,"['Anime Series', "" Kids' TV""]"
TV Show,Titipo Titipo,Not Given,Pakistan,2021-09-10,2019,TV-Y,,"Kids' TV, Korean TV Shows",2021,9,10,"[""Kids' TV"", ' Korean TV Shows']"
TV Show,Mighty Raju,Not Given,Pakistan,2021-09-09,2017,TV-Y7,,Kids' TV,2021,9,9,"[""Kids' TV""]"
TV Show,Tobot Galaxy Detectives,Not Given,Pakistan,2021-09-07,2019,TV-Y7,,Kids' TV,2021,9,7,"[""Kids' TV""]"
TV Show,Hotel Del Luna,Not Given,Pakistan,2021-09-02,2019,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,9,2,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,Brave Animated Series,Not Given,Pakistan,2021-09-01,2021,TV-MA,1.0,"International TV Shows, TV Action & Adventure, TV Comedies",2021,9,1,"['International TV Shows', ' TV Action & Adventure', ' TV Comedies']"
TV Show,How to Be a Cowboy,Not Given,Pakistan,2021-09-01,2021,TV-PG,1.0,Reality TV,2021,9,1,['Reality TV']
TV Show,Oldsters,Not Given,Pakistan,2021-09-01,2019,TV-MA,1.0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,9,1,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']"
TV Show,Bread Barbershop,Not Given,Pakistan,2021-08-28,2020,TV-Y,,"Kids' TV, TV Comedies",2021,8,28,"[""Kids' TV"", ' TV Comedies']"
TV Show,Turning Point: 9/11 and the War on Terror,Not Given,Pakistan,2021-09-01,2021,TV-14,1.0,Docuseries,2021,9,1,['Docuseries']
TV Show,Hometown Cha-Cha-Cha,Not Given,Pakistan,2021-08-29,2021,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,8,29,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,The Ingenuity of the Househusband,Not Given,Pakistan,2021-08-29,2021,TV-G,1.0,"International TV Shows, TV Comedies",2021,8,29,"['International TV Shows', ' TV Comedies']"
Movie,Minsara Kanavu,Rajiv Menon,India,2021-09-21,1997,TV-PG,147.0,"Comedies, International Movies, Music & Musicals",2021,9,21,"['Comedies', ' International Movies', ' Music & Musicals']"
Movie,Intrusion,Adam Salky,Not Given,2021-09-22,2021,TV-14,94.0,Thrillers,2021,9,22,['Thrillers']
Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,2021-09-21,1996,TV-PG,161.0,"Comedies, International Movies",2021,9,21,"['Comedies', ' International Movies']"
Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,2021-09-17,2021,TV-14,111.0,"Dramas, Independent Movies, International Movies",2021,9,17,"['Dramas', ' Independent Movies', ' International Movies']"
Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,2021-09-17,2021,TV-MA,110.0,"Dramas, International Movies, Thrillers",2021,9,17,"['Dramas', ' International Movies', ' Thrillers']"
Movie,The Stronghold,Cédric Jimenez,Not Given,2021-09-17,2021,TV-MA,105.0,"Action & Adventure, Dramas, International Movies",2021,9,17,"['Action & Adventure', ' Dramas', ' International Movies']"
Movie,Birth of the Dragon,George Nolfi,China,2021-09-16,2017,PG-13,96.0,"Action & Adventure, Dramas",2021,9,16,"['Action & Adventure', ' Dramas']"
TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,2021-09-16,2020,TV-MA,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,9,16,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
Movie,You vs. Wild: Out Cold,Ben Simms,United States,2021-09-14,2021,TV-G,106.0,Children & Family Movies,2021,9,14,['Children & Family Movies']
Movie,Jaws,Steven Spielberg,United States,2021-09-16,1975,PG,124.0,"Action & Adventure, Classic Movies, Dramas",2021,9,16,"['Action & Adventure', ' Classic Movies', ' Dramas']"
Movie,Jaws 2,Jeannot Szwarc,United States,2021-09-16,1978,PG,116.0,"Dramas, Horror Movies, Thrillers",2021,9,16,"['Dramas', ' Horror Movies', ' Thrillers']"
Movie,Jaws 3,Joe Alves,United States,2021-09-16,1983,PG,98.0,"Action & Adventure, Horror Movies, Thrillers",2021,9,16,"['Action & Adventure', ' Horror Movies', ' Thrillers']"
Movie,Jaws: The Revenge,Joseph Sargent,United States,2021-09-16,1987,PG-13,91.0,"Action & Adventure, Horror Movies, Thrillers",2021,9,16,"['Action & Adventure', ' Horror Movies', ' Thrillers']"
Movie,Safe House,Daniel Espinosa,South Africa,2021-09-16,2012,R,115.0,Action & Adventure,2021,9,16,['Action & Adventure']
Movie,Training Day,Antoine Fuqua,United States,2021-09-16,2001,R,122.0,"Dramas, Thrillers",2021,9,16,"['Dramas', ' Thrillers']"
Movie,Dolly Parton: A MusiCares Tribute,Not Given,Pakistan,2021-04-07,2021,TV-PG,55.0,"Documentaries, Music & Musicals",2021,4,7,"['Documentaries', ' Music & Musicals']"
TV Show,Deadly Sins,Not Given,Pakistan,2021-08-27,2002,TV-MA,1.0,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2021,8,27,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Dramas']"
Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,2021-09-15,2002,TV-14,99.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,2021-09-15,2003,TV-14,99.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,2021-09-15,2004,TV-PG,88.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,2021-09-15,2001,TV-PG,100.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
TV Show,I Heart Arlo,Not Given,Pakistan,2021-08-27,2021,TV-Y7,1.0,"Kids' TV, TV Comedies",2021,8,27,"[""Kids' TV"", ' TV Comedies']"
TV Show,Nailed It,Not Given,United States,2021-09-15,2021,TV-PG,,Reality TV,2021,9,15,['Reality TV']
TV Show,Cat People,Not Given,Pakistan,2021-07-07,2021,TV-14,1.0,Docuseries,2021,7,7,['Docuseries']
TV Show,RIDE ON TIME,Not Given,Pakistan,2021-08-27,2021,TV-PG,,"Docuseries, International TV Shows",2021,8,27,"['Docuseries', ' International TV Shows']"
TV Show,Titletown High,Not Given,Pakistan,2021-08-27,2021,TV-14,1.0,"Reality TV, Teen TV Shows",2021,8,27,"['Reality TV', ' Teen TV Shows']"
TV Show,Motel Makeover,Not Given,Pakistan,2021-08-25,2021,TV-14,1.0,"International TV Shows, Reality TV",2021,8,25,"['International TV Shows', ' Reality TV']"
TV Show,Open Your Eyes,Not Given,Pakistan,2021-08-25,2021,TV-MA,1.0,"International TV Shows, TV Dramas, TV Mysteries",2021,8,25,"['International TV Shows', ' TV Dramas', ' TV Mysteries']"
TV Show,Post Mortem: No One Dies in Skarnes,Not Given,Pakistan,2021-08-25,2021,TV-MA,1.0,"International TV Shows, TV Comedies, TV Dramas",2021,8,25,"['International TV Shows', ' TV Comedies', ' TV Dramas']"
Movie,My Heroes Were Cowboys,Tyler Greco,Not Given,2021-09-16,2021,PG,23.0,Documentaries,2021,9,16,['Documentaries']
Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,2021-09-15,2011,TV-14,102.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,2021-09-15,2008,TV-PG,93.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,2021-09-15,2009,TV-PG,96.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,2021-09-15,2007,TV-PG,95.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,2021-09-15,2010,TV-14,85.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,2021-09-15,2005,TV-PG,97.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,2021-09-15,2006,TV-PG,95.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
Movie,Naruto the Movie: Ninja Clash in the Land of Snow,Tensai Okamura,Japan,2021-09-15,2004,TV-PG,83.0,"Action & Adventure, Anime Features, International Movies",2021,9,15,"['Action & Adventure', ' Anime Features', ' International Movies']"
TV Show,Comedy Premium League,Not Given,Pakistan,2021-08-20,2021,TV-MA,1.0,"International TV Shows, TV Comedies",2021,8,20,"['International TV Shows', ' TV Comedies']"
TV Show,Everything Will Be Fine,Not Given,Pakistan,2021-08-20,2021,TV-MA,1.0,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2021,8,20,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Comedies']"
TV Show,Korean Cold Noodle Rhapsody,Not Given,Pakistan,2021-08-20,2021,TV-PG,1.0,"Docuseries, International TV Shows",2021,8,20,"['Docuseries', ' International TV Shows']"
TV Show,The Chair,Not Given,Pakistan,2021-08-20,2021,TV-MA,1.0,"TV Comedies, TV Dramas",2021,8,20,"['TV Comedies', ' TV Dramas']"
TV Show,The Defeated,Not Given,Pakistan,2021-08-18,2020,TV-MA,1.0,"Crime TV Shows, International TV Shows, TV Dramas",2021,8,18,"['Crime TV Shows', ' International TV Shows', ' TV Dramas']"
TV Show,Car Masters: Rust to Riches,Not Given,Pakistan,2021-08-04,2021,TV-PG,,Reality TV,2021,8,4,['Reality TV']
Movie,King of Boys,Kemi Adetiba,Nigeria,2021-09-14,2018,TV-MA,182.0,"Dramas, International Movies",2021,9,14,"['Dramas', ' International Movies']"
TV Show,Top Secret UFO Projects: Declassified,Not Given,Pakistan,2021-08-03,2021,TV-PG,1.0,Docuseries,2021,8,3,['Docuseries']
TV Show,Friday Night Lights,Not Given,Pakistan,2021-08-01,2010,TV-14,,"TV Dramas, Teen TV Shows",2021,8,1,"['TV Dramas', ' Teen TV Shows']"
TV Show,Centaurworld,Not Given,Pakistan,2021-07-30,2021,TV-Y7,1.0,"Kids' TV, TV Comedies",2021,7,30,"[""Kids' TV"", ' TV Comedies']"
TV Show,Khawatir,Not Given,Pakistan,2021-07-30,2009,TV-14,1.0,"International TV Shows, Reality TV",2021,7,30,"['International TV Shows', ' Reality TV']"
TV Show,Myth & Mogul: John DeLorean,Not Given,Pakistan,2021-07-30,2021,TV-14,1.0,"British TV Shows, Crime TV Shows, Docuseries",2021,7,30,"['British TV Shows', ' Crime TV Shows', ' Docuseries']"
TV Show,Transformers: War for Cybertron: Kingdom,Not Given,Pakistan,2021-07-29,2021,TV-Y7,1.0,Anime Series,2021,7,29,['Anime Series']
TV Show,Tattoo Redo,Not Given,Pakistan,2021-07-28,2021,TV-MA,1.0,Reality TV,2021,7,28,['Reality TV']
TV Show,The Snitch Cartel: Origins,Not Given,Pakistan,2021-07-28,2021,TV-MA,1.0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,7,28,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']"
TV Show,Feels Like Ishq,Not Given,Pakistan,2021-07-23,2021,TV-MA,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,7,23,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,How to Become a Tyrant,Not Given,Pakistan,2021-07-09,2021,TV-MA,1.0,Docuseries,2021,7,9,['Docuseries']
Movie,Kate,Cedric Nicolas-Troyan,United States,2021-09-10,2021,R,106.0,Action & Adventure,2021,9,10,['Action & Adventure']
Movie,Omo Ghetto: the Saga,"JJC Skillz, Funke Akindele",Nigeria,2021-09-10,2020,TV-MA,147.0,"Action & Adventure, Comedies, Dramas",2021,9,10,"['Action & Adventure', ' Comedies', ' Dramas']"
Movie,Prey,Thomas Sieben,Germany,2021-09-10,2021,TV-MA,87.0,"International Movies, Thrillers",2021,9,10,"['International Movies', ' Thrillers']"
TV Show,Revelations: The Masters of the Universe: Revelation Aftershow,Not Given,Pakistan,2021-07-23,2021,TV-PG,1.0,"Anime Series, Stand-Up Comedy & Talk Shows",2021,7,23,"['Anime Series', ' Stand-Up Comedy & Talk Shows']"
Movie,9to5: The Story of a Movement,Not Given,Pakistan,2021-07-22,2021,TV-MA,85.0,Documentaries,2021,7,22,['Documentaries']
Movie,Paradise Hills,Alice Waddington,Spain,2021-09-09,2019,TV-MA,95.0,"Sci-Fi & Fantasy, Thrillers",2021,9,9,"['Sci-Fi & Fantasy', ' Thrillers']"
Movie,The Women and the Murderer,"Mona Achache, Patricia Tourancheau",France,2021-09-09,2021,TV-14,92.0,"Documentaries, International Movies",2021,9,9,"['Documentaries', ' International Movies']"
TV Show,Sexy Beasts,Not Given,Pakistan,2021-07-21,2021,TV-14,1.0,"British TV Shows, International TV Shows, Reality TV",2021,7,21,"['British TV Shows', ' International TV Shows', ' Reality TV']"
Movie,Show Dogs,Raja Gosnell,United Kingdom,2021-09-08,2018,PG,90.0,"Children & Family Movies, Comedies",2021,9,8,"['Children & Family Movies', ' Comedies']"
Movie,Why Did You Kill Me?,Fredrick Munk,United States,2021-04-14,2021,TV-MA,84.0,Documentaries,2021,4,14,['Documentaries']
TV Show,Too Hot to Handle: Brazil,Not Given,Pakistan,2021-07-21,2021,TV-MA,1.0,"International TV Shows, Reality TV, Romantic TV Shows",2021,7,21,"['International TV Shows', ' Reality TV', ' Romantic TV Shows']"
TV Show,Touch Your Heart,Not Given,Pakistan,2021-07-20,2019,TV-MA,1.0,"Crime TV Shows, International TV Shows, Romantic TV Shows",2021,7,20,"['Crime TV Shows', ' International TV Shows', ' Romantic TV Shows']"
TV Show,My Unorthodox Life,Not Given,Pakistan,2021-07-14,2021,TV-MA,1.0,Reality TV,2021,7,14,['Reality TV']
TV Show,The Cook of Castamar,Not Given,Pakistan,2021-07-09,2021,TV-MA,1.0,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,7,9,"['International TV Shows', ' Romantic TV Shows', ' Spanish-Language TV Shows']"
TV Show,Elize Matsunaga: Once Upon a Crime,Not Given,Pakistan,2021-07-08,2021,TV-MA,1.0,"Crime TV Shows, Docuseries, International TV Shows",2021,7,8,"['Crime TV Shows', ' Docuseries', ' International TV Shows']"
TV Show,The War Next-door,Not Given,Pakistan,2021-07-07,2021,TV-MA,1.0,"International TV Shows, Spanish-Language TV Shows, TV Comedies",2021,7,7,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Comedies']"
TV Show,Big Timber,Not Given,Pakistan,2021-07-02,2020,TV-14,1.0,"International TV Shows, Reality TV",2021,7,2,"['International TV Shows', ' Reality TV']"
TV Show,Generation 56k,Not Given,Pakistan,2021-07-01,2021,TV-MA,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,7,1,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,Sailor Moon Crystal,Not Given,Pakistan,2021-07-01,2016,TV-Y7,,"Anime Series, Kids' TV",2021,7,1,"['Anime Series', "" Kids' TV""]"
TV Show,Godzilla Singular Point,Not Given,Pakistan,2021-06-24,2021,TV-14,1.0,"Anime Series, International TV Shows",2021,6,24,"['Anime Series', ' International TV Shows']"
Movie,Sisters on Track,Not Given,Pakistan,2021-06-24,2021,PG,97.0,"Documentaries, Sports Movies",2021,6,24,"['Documentaries', ' Sports Movies']"
TV Show,The Parisian Agency: Exclusive Properties,Not Given,Pakistan,2021-06-23,2021,TV-G,1.0,"International TV Shows, Reality TV",2021,6,23,"['International TV Shows', ' Reality TV']"
Movie,Little Singham - Black Shadow,Prakash Satam,Not Given,2021-09-11,2021,TV-Y7,48.0,"Children & Family Movies, Comedies",2021,9,11,"['Children & Family Movies', ' Comedies']"
Movie,Firedrake the Silver Dragon,Tomer Eshed,Not Given,2021-09-10,2021,TV-Y7,93.0,Children & Family Movies,2021,9,10,['Children & Family Movies']
Movie,Tughlaq Durbar,Delhiprasad Deenadayalan,Not Given,2021-09-11,2020,TV-14,145.0,"Comedies, Dramas, International Movies",2021,9,11,"['Comedies', ' Dramas', ' International Movies']"
Movie,Tughlaq Durbar (Telugu),Delhiprasad Deenadayalan,Not Given,2021-09-11,2021,TV-14,145.0,"Comedies, Dramas, International Movies",2021,9,11,"['Comedies', ' Dramas', ' International Movies']"
Movie,Blood Brothers: Malcolm X & Muhammad Ali,Marcus Clarke,Not Given,2021-09-09,2021,PG-13,96.0,"Documentaries, Sports Movies",2021,9,9,"['Documentaries', ' Sports Movies']"
Movie,JJ+E,Alexis Almström,Not Given,2021-09-08,2021,TV-MA,91.0,"Dramas, International Movies, Romantic Movies",2021,9,8,"['Dramas', ' International Movies', ' Romantic Movies']"
Movie,Worth,Sara Colangelo,United States,2021-09-03,2021,PG-13,119.0,Dramas,2021,9,3,['Dramas']
Movie,If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,Stephen Kijak,United States,2021-09-07,2018,TV-MA,97.0,"Documentaries, Music & Musicals",2021,9,7,"['Documentaries', ' Music & Musicals']"
Movie,Afterlife of the Party,Stephen Herek,United States,2021-09-02,2021,TV-PG,110.0,"Comedies, Romantic Movies",2021,9,2,"['Comedies', ' Romantic Movies']"
TV Show,This Is Pop,Not Given,Pakistan,2021-06-22,2021,TV-MA,1.0,"Docuseries, International TV Shows",2021,6,22,"['Docuseries', ' International TV Shows']"
TV Show,"Nevertheless,",Not Given,Pakistan,2021-06-20,2021,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Dramas",2021,6,20,"['International TV Shows', ' Romantic TV Shows', ' TV Dramas']"
TV Show,Human: The World Within,Not Given,Pakistan,2021-06-04,2021,TV-PG,1.0,"Docuseries, Science & Nature TV",2021,6,4,"['Docuseries', ' Science & Nature TV']"
Movie,Untold: Breaking Point,"Chapman Way, Maclain Way",United States,2021-09-07,2021,TV-MA,80.0,"Documentaries, Sports Movies",2021,9,7,"['Documentaries', ' Sports Movies']"
TV Show,Charité at War,Not Given,Pakistan,2021-06-19,2019,TV-MA,1.0,"International TV Shows, TV Dramas",2021,6,19,"['International TV Shows', ' TV Dramas']"
Movie,Angamaly Diaries,Lijo Jose Pellissery,India,2021-09-05,2017,TV-14,128.0,"Action & Adventure, Comedies, Dramas",2021,9,5,"['Action & Adventure', ' Comedies', ' Dramas']"
TV Show,Elite Short Stories: Carla Samuel,Not Given,Pakistan,2021-06-17,2021,TV-MA,1.0,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,6,17,"['International TV Shows', ' Romantic TV Shows', ' Spanish-Language TV Shows']"
Movie,A Champion Heart,David de Vos,United States,2021-09-04,2018,G,90.0,"Children & Family Movies, Dramas",2021,9,4,"['Children & Family Movies', ' Dramas']"
TV Show,Record of Ragnarok,Not Given,Pakistan,2021-06-17,2021,TV-MA,1.0,"Anime Series, International TV Shows",2021,6,17,"['Anime Series', ' International TV Shows']"
TV Show,Elite Short Stories: Omar Ander Alexis,Not Given,Pakistan,2021-06-16,2021,TV-MA,1.0,"International TV Shows, Spanish-Language TV Shows, TV Dramas",2021,6,16,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Dramas']"
TV Show,Penguin Town,Not Given,Pakistan,2021-06-16,2021,TV-PG,1.0,"Docuseries, Science & Nature TV",2021,6,16,"['Docuseries', ' Science & Nature TV']"
Movie,Anjaam,Rahul Rawail,India,2021-09-02,1994,TV-14,143.0,"Dramas, International Movies, Thrillers",2021,9,2,"['Dramas', ' International Movies', ' Thrillers']"
TV Show,Beyond Evil,Not Given,Pakistan,2021-06-15,2021,TV-MA,1.0,"Crime TV Shows, International TV Shows, TV Thrillers",2021,6,15,"['Crime TV Shows', ' International TV Shows', ' TV Thrillers']"
