type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,day_added,genres
TV Show,The Prince Who Turns into a Frog,Not Given,Taiwan,2021-08-03,2005,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,8,3,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,Two Fathers,Not Given,Taiwan,2021-08-03,2013,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,8,3,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,You're My Destiny,Not Given,Taiwan,2021-08-03,2008,TV-MA,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,8,3,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,30 Rock,Not Given,United States,2021-08-01,2012,TV-14,,TV Comedies,2021,8,1,['TV Comedies']
TV Show,Hunter X Hunter (2011),Not Given,Japan,2021-08-01,2014,TV-14,,"Anime Series, International TV Shows",2021,8,1,"['Anime Series', ' International TV Shows']"
TV Show,Charmed,Not Given,United States,2021-07-31,2021,TV-14,,"TV Dramas, TV Sci-Fi & Fantasy",2021,7,31,"['TV Dramas', ' TV Sci-Fi & Fantasy']"
TV Show,Glow Up,Not Given,United Kingdom,2021-07-30,2021,TV-14,,"British TV Shows, International TV Shows, Reality TV",2021,7,30,"['British TV Shows', ' International TV Shows', ' Reality TV']"
TV Show,Outer Banks,Not Given,United States,2021-07-30,2021,TV-MA,,"TV Action & Adventure, TV Dramas, Teen TV Shows",2021,7,30,"['TV Action & Adventure', ' TV Dramas', ' Teen TV Shows']"
TV Show,All American,Not Given,United States,2021-07-27,2021,TV-14,,"TV Dramas, Teen TV Shows",2021,7,27,"['TV Dramas', ' Teen TV Shows']"
TV Show,How to Sell Drugs Online (Fast),Not Given,Germany,2021-07-27,2021,TV-MA,,"Crime TV Shows, International TV Shows, TV Comedies",2021,7,27,"['Crime TV Shows', ' International TV Shows', ' TV Comedies']"
TV Show,Mighty Express,Not Given,United States,2021-07-27,2021,TV-Y,,Kids' TV,2021,7,27,"[""Kids' TV""]"
TV Show,The Walking Dead,Not Given,United States,2021-07-26,2019,TV-MA,,"Classic & Cult TV, TV Action & Adventure, TV Dramas",2021,7,26,"['Classic & Cult TV', ' TV Action & Adventure', ' TV Dramas']"
TV Show,Wynonna Earp,Not Given,Canada,2021-07-26,2020,TV-MA,,"International TV Shows, TV Action & Adventure, TV Dramas",2021,7,26,"['International TV Shows', ' TV Action & Adventure', ' TV Dramas']"
TV Show,Darwin’s Game,Not Given,Pakistan,2021-08-01,2020,TV-MA,1.0,"Anime Series, International TV Shows, TV Thrillers",2021,8,1,"['Anime Series', ' International TV Shows', ' TV Thrillers']"
TV Show,Sky Rojo,Not Given,Spain,2021-07-23,2021,TV-MA,,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",2021,7,23,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Action & Adventure']"
TV Show,The Movies That Made Us,Not Given,United States,2021-07-23,2021,TV-MA,,Docuseries,2021,7,23,['Docuseries']
TV Show,Chicago Med,Not Given,United States,2021-07-22,2019,TV-14,,TV Dramas,2021,7,22,['TV Dramas']
TV Show,Okupas,Not Given,Argentina,2021-07-20,2020,TV-MA,1.0,"Classic & Cult TV, Crime TV Shows, International TV Shows",2021,7,20,"['Classic & Cult TV', ' Crime TV Shows', ' International TV Shows']"
TV Show,Explained,Not Given,United States,2021-07-16,2021,TV-MA,,"Docuseries, Science & Nature TV",2021,7,16,"['Docuseries', ' Science & Nature TV']"
TV Show,Johnny Test,Not Given,United States,2021-07-16,2021,TV-Y7,1.0,"Kids' TV, TV Comedies",2021,7,16,"[""Kids' TV"", ' TV Comedies']"
TV Show,BEASTARS,Not Given,Japan,2021-07-15,2021,TV-MA,,"Anime Series, International TV Shows",2021,7,15,"['Anime Series', ' International TV Shows']"
TV Show,Her Private Life,Not Given,South Korea,2021-07-15,2019,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Comedies",2021,7,15,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,Never Have I Ever,Not Given,United States,2021-07-15,2021,TV-14,,"TV Comedies, TV Dramas, Teen TV Shows",2021,7,15,"['TV Comedies', ' TV Dramas', ' Teen TV Shows']"
TV Show,Ridley Jones,Not Given,United States,2021-07-13,2021,TV-Y,1.0,Kids' TV,2021,7,13,"[""Kids' TV""]"
TV Show,Atypical,Not Given,United States,2021-07-09,2021,TV-14,,"TV Comedies, TV Dramas, Teen TV Shows",2021,7,9,"['TV Comedies', ' TV Dramas', ' Teen TV Shows']"
TV Show,Biohackers,Not Given,Germany,2021-07-09,2021,TV-MA,,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy",2021,7,9,"['International TV Shows', ' TV Dramas', ' TV Sci-Fi & Fantasy']"
TV Show,Masters of the Universe: Revelation,Not Given,Pakistan,2021-07-23,2021,TV-PG,1.0,"TV Action & Adventure, TV Sci-Fi & Fantasy",2021,7,23,"['TV Action & Adventure', ' TV Sci-Fi & Fantasy']"
TV Show,Virgin River,Not Given,United States,2021-07-09,2021,TV-14,,"Romantic TV Shows, TV Dramas",2021,7,9,"['Romantic TV Shows', ' TV Dramas']"
TV Show,RESIDENT EVIL: Infinite Darkness,Not Given,United States,2021-07-08,2021,TV-MA,1.0,"Anime Series, TV Horror, TV Thrillers",2021,7,8,"['Anime Series', ' TV Horror', ' TV Thrillers']"
TV Show,Dogs,Not Given,United States,2021-07-07,2021,TV-PG,,Docuseries,2021,7,7,['Docuseries']
TV Show,Ask the StoryBots,Not Given,United States,2021-07-06,2019,TV-Y,,Kids' TV,2021,7,6,"[""Kids' TV""]"
TV Show,Between,Not Given,Canada,2021-07-06,2016,TV-14,,"International TV Shows, TV Dramas, TV Mysteries",2021,7,6,"['International TV Shows', ' TV Dramas', ' TV Mysteries']"
TV Show,Chelsea,Not Given,United States,2021-07-06,2017,TV-MA,,"Stand-Up Comedy & Talk Shows, TV Comedies",2021,7,6,"['Stand-Up Comedy & Talk Shows', ' TV Comedies']"
TV Show,Code Lyoko,Not Given,France,2021-07-06,2007,TV-Y7,,Kids' TV,2021,7,6,"[""Kids' TV""]"
TV Show,Colony,Not Given,United States,2021-07-06,2018,TV-14,,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2021,7,6,"['TV Action & Adventure', ' TV Dramas', ' TV Sci-Fi & Fantasy']"
TV Show,Cuckoo,Not Given,United Kingdom,2021-07-06,2019,TV-MA,,"British TV Shows, International TV Shows, TV Comedies",2021,7,6,"['British TV Shows', ' International TV Shows', ' TV Comedies']"
TV Show,Derry Girls,Not Given,United Kingdom,2021-07-06,2019,TV-MA,,"British TV Shows, International TV Shows, TV Comedies",2021,7,6,"['British TV Shows', ' International TV Shows', ' TV Comedies']"
TV Show,Shtisel,Not Given,Israel,2021-07-06,2021,TV-14,,"International TV Shows, TV Dramas",2021,7,6,"['International TV Shows', ' TV Dramas']"
TV Show,Girl from Nowhere,Not Given,Thailand,2021-07-06,2021,TV-MA,,"International TV Shows, TV Dramas, TV Mysteries",2021,7,6,"['International TV Shows', ' TV Dramas', ' TV Mysteries']"
TV Show,Good Morning Call,Not Given,Japan,2021-07-06,2017,TV-14,,"International TV Shows, Romantic TV Shows, TV Comedies",2021,7,6,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']"
TV Show,I AM A KILLER,Not Given,United Kingdom,2021-07-06,2020,TV-MA,,"British TV Shows, Crime TV Shows, Docuseries",2021,7,6,"['British TV Shows', ' Crime TV Shows', ' Docuseries']"
Movie,Last Summer,Not Given,Pakistan,2021-07-09,2021,TV-MA,102.0,"Dramas, International Movies, Romantic Movies",2021,7,9,"['Dramas', ' International Movies', ' Romantic Movies']"
TV Show,I Think You Should Leave with Tim Robinson,Not Given,United States,2021-07-06,2021,TV-MA,,TV Comedies,2021,7,6,['TV Comedies']
TV Show,Kim's Convenience,Not Given,Canada,2021-07-06,2021,TV-MA,,"International TV Shows, TV Comedies",2021,7,6,"['International TV Shows', ' TV Comedies']"
TV Show,Larva,Not Given,Russia,2021-07-06,2015,TV-Y7,,"Kids' TV, Korean TV Shows, TV Comedies",2021,7,6,"[""Kids' TV"", ' Korean TV Shows', ' TV Comedies']"
TV Show,Marcella,Not Given,United Kingdom,2021-07-06,2019,TV-MA,,"British TV Shows, Crime TV Shows, International TV Shows",2021,7,6,"['British TV Shows', ' Crime TV Shows', ' International TV Shows']"
TV Show,Midnight Diner: Tokyo Stories,Not Given,Japan,2021-07-06,2019,TV-MA,,"International TV Shows, TV Dramas",2021,7,6,"['International TV Shows', ' TV Dramas']"
TV Show,My Little Pony: Friendship Is Magic,Not Given,United States,2021-07-06,2018,TV-Y,,Kids' TV,2021,7,6,"[""Kids' TV""]"
TV Show,Orange Is the New Black,Not Given,United States,2021-07-06,2019,TV-MA,,"TV Comedies, TV Dramas",2021,7,6,"['TV Comedies', ' TV Dramas']"
TV Show,Puffin Rock,Not Given,Ireland,2021-07-06,2016,TV-Y,,Kids' TV,2021,7,6,"[""Kids' TV""]"
TV Show,Richie Rich,Not Given,United States,2021-07-06,2015,TV-G,,"Kids' TV, TV Comedies",2021,7,6,"[""Kids' TV"", ' TV Comedies']"
TV Show,Scream,Not Given,United States,2021-07-06,2019,TV-MA,,"Crime TV Shows, TV Horror, TV Mysteries",2021,7,6,"['Crime TV Shows', ' TV Horror', ' TV Mysteries']"
TV Show,Rainbow Rangers,Not Given,United States,2021-07-01,2018,TV-Y,1.0,Kids' TV,2021,7,1,"[""Kids' TV""]"
TV Show,Some Assembly Required,Not Given,Canada,2021-07-06,2015,TV-Y,,"Kids' TV, TV Comedies",2021,7,6,"[""Kids' TV"", ' TV Comedies']"
TV Show,Tales by Light,Not Given,Australia,2021-07-06,2018,TV-14,,"Docuseries, International TV Shows, Science & Nature TV",2021,7,6,"['Docuseries', ' International TV Shows', ' Science & Nature TV']"
TV Show,Terrace House: Opening New Doors,Not Given,Japan,2021-07-06,2018,TV-14,,"International TV Shows, Reality TV",2021,7,6,"['International TV Shows', ' Reality TV']"
TV Show,The A List,Not Given,United Kingdom,2021-07-06,2021,TV-PG,,"British TV Shows, International TV Shows, TV Dramas",2021,7,6,"['British TV Shows', ' International TV Shows', ' TV Dramas']"
TV Show,The New Legends of Monkey,Not Given,Australia,2021-07-06,2020,TV-PG,,"Kids' TV, TV Action & Adventure, TV Sci-Fi & Fantasy",2021,7,6,"[""Kids' TV"", ' TV Action & Adventure', ' TV Sci-Fi & Fantasy']"
TV Show,The Worst Witch,Not Given,United Kingdom,2021-07-06,2020,TV-G,,"British TV Shows, Kids' TV",2021,7,6,"['British TV Shows', "" Kids' TV""]"
TV Show,Undercover,Not Given,Belgium,2021-07-06,2020,TV-MA,,"Crime TV Shows, International TV Shows, TV Action & Adventure",2021,7,6,"['Crime TV Shows', ' International TV Shows', ' TV Action & Adventure']"
TV Show,Workin' Moms,Not Given,Canada,2021-07-06,2021,TV-MA,,"International TV Shows, TV Comedies",2021,7,6,"['International TV Shows', ' TV Comedies']"
TV Show,YooHoo to the Rescue,Not Given,South Korea,2021-07-06,2020,TV-Y,,"Kids' TV, Korean TV Shows",2021,7,6,"[""Kids' TV"", ' Korean TV Shows']"
TV Show,We the People,Not Given,United States,2021-07-04,2021,TV-Y7,1.0,Kids' TV,2021,7,4,"[""Kids' TV""]"
TV Show,Grey's Anatomy,Not Given,United States,2021-07-03,2020,TV-14,,"Romantic TV Shows, TV Dramas",2021,7,3,"['Romantic TV Shows', ' TV Dramas']"
TV Show,Mortel,Not Given,France,2021-07-02,2019,TV-MA,,"Crime TV Shows, International TV Shows, TV Dramas",2021,7,2,"['Crime TV Shows', ' International TV Shows', ' TV Dramas']"
TV Show,Bureau of Magical Things,Not Given,Australia,2021-07-01,2020,TV-G,1.0,"International TV Shows, Kids' TV, TV Mysteries",2021,7,1,"['International TV Shows', "" Kids' TV"", ' TV Mysteries']"
TV Show,Young Royals,Not Given,Sweden,2021-07-01,2021,TV-MA,1.0,"International TV Shows, Romantic TV Shows, TV Dramas",2021,7,1,"['International TV Shows', ' Romantic TV Shows', ' TV Dramas']"
TV Show,Droppin' Cash: Los Angeles,Not Given,United States,2021-06-30,2019,TV-MA,1.0,Reality TV,2021,6,30,['Reality TV']
TV Show,Somos.,Not Given,Mexico,2021-06-30,2021,TV-MA,1.0,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,6,30,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']"
TV Show,The Daily Life of the Immortal King,Not Given,China,2021-06-30,2020,TV-14,1.0,"Anime Series, International TV Shows, Teen TV Shows",2021,6,30,"['Anime Series', ' International TV Shows', ' Teen TV Shows']"
TV Show,StarBeam,Not Given,United States,2021-06-29,2021,TV-Y,,Kids' TV,2021,6,29,"[""Kids' TV""]"
TV Show,The Seven Deadly Sins,Not Given,Japan,2021-06-28,2021,TV-14,,"Anime Series, International TV Shows",2021,6,28,"['Anime Series', ' International TV Shows']"
TV Show,Sex/Life,Not Given,United States,2021-06-25,2021,TV-MA,1.0,"Romantic TV Shows, TV Dramas",2021,6,25,"['Romantic TV Shows', ' TV Dramas']"
TV Show,You Are My Spring,Not Given,Pakistan,2021-07-06,2021,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Dramas",2021,7,6,"['International TV Shows', ' Romantic TV Shows', ' TV Dramas']"
TV Show,The Naked Director,Not Given,Japan,2021-06-24,2021,TV-MA,,"International TV Shows, TV Dramas",2021,6,24,"['International TV Shows', ' TV Dramas']"
TV Show,Too Hot to Handle,Not Given,United States,2021-06-23,2021,TV-MA,,"Reality TV, Romantic TV Shows",2021,6,23,"['Reality TV', ' Romantic TV Shows']"
TV Show,The Mole,Not Given,United States,2021-06-21,2001,TV-14,,"Reality TV, TV Action & Adventure, TV Mysteries",2021,6,21,"['Reality TV', ' TV Action & Adventure', ' TV Mysteries']"
TV Show,Bangkok Love Stories: Innocence,Not Given,Thailand,2021-06-19,2018,TV-14,1.0,"International TV Shows, Romantic TV Shows, TV Dramas",2021,6,19,"['International TV Shows', ' Romantic TV Shows', ' TV Dramas']"
TV Show,Black Lightning,Not Given,United States,2021-06-19,2021,TV-14,,"TV Action & Adventure, TV Dramas, TV Sci-Fi & Fantasy",2021,6,19,"['TV Action & Adventure', ' TV Dramas', ' TV Sci-Fi & Fantasy']"
TV Show,Call My Agent!,Not Given,France,2021-06-19,2018,TV-MA,,"International TV Shows, TV Comedies, TV Dramas",2021,6,19,"['International TV Shows', ' TV Comedies', ' TV Dramas']"
TV Show,Champions,Not Given,United States,2021-06-19,2018,TV-14,1.0,TV Comedies,2021,6,19,['TV Comedies']
TV Show,Deadwind,Not Given,Finland,2021-06-19,2020,TV-MA,,"Crime TV Shows, International TV Shows, TV Dramas",2021,6,19,"['Crime TV Shows', ' International TV Shows', ' TV Dramas']"
TV Show,Glee,Not Given,United States,2021-06-19,2015,TV-14,,"TV Comedies, TV Dramas, Teen TV Shows",2021,6,19,"['TV Comedies', ' TV Dramas', ' Teen TV Shows']"
TV Show,Hap and Leonard,Not Given,United States,2021-06-19,2018,TV-MA,,"Crime TV Shows, TV Dramas",2021,6,19,"['Crime TV Shows', ' TV Dramas']"
TV Show,Locked Up,Not Given,Spain,2021-06-19,2020,TV-MA,,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,6,19,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']"
TV Show,No Time for Shame,Not Given,Argentina,2021-06-19,2019,TV-MA,1.0,"International TV Shows, Reality TV, Spanish-Language TV Shows",2021,6,19,"['International TV Shows', ' Reality TV', ' Spanish-Language TV Shows']"
TV Show,Jiva!,Not Given,Pakistan,2021-06-24,2021,TV-MA,1.0,"International TV Shows, TV Dramas",2021,6,24,"['International TV Shows', ' TV Dramas']"
TV Show,Pose,Not Given,United States,2021-06-19,2019,TV-MA,,TV Dramas,2021,6,19,['TV Dramas']
TV Show,REA(L)OVE,Not Given,Japan,2021-06-19,2018,TV-MA,1.0,"International TV Shows, Reality TV, Romantic TV Shows",2021,6,19,"['International TV Shows', ' Reality TV', ' Romantic TV Shows']"
